transaction_id,vendor_id,gross_revenue,platform_fee_percentage,variable_tax_percentage,platform_fee_amount,tax_amount,net_payout
TXN-10072,VND-26,99.35,2.5,10.0,2.48,9.94,86.93
TXN-10073,VND-44,469.59,5.0,15.0,23.48,70.44,375.67
TXN-10074,VND-34,4047.75,5.0,15.0,202.39,607.16,3238.2
TXN-10075,VND-10,3868.79,7.5,10.0,290.16,386.88,3191.75
TXN-10076,VND-36,4579.94,5.0,15.0,229.0,686.99,3663.95
TXN-10077,VND-14,4279.85,5.0,10.0,213.99,427.98,3637.88
TXN-10078,VND-31,3431.72,7.5,15.0,257.38,514.76,2659.58
TXN-10079,VND-48,309.05,7.5,20.0,23.18,61.81,224.06
TXN-10080,VND-15,3925.1,7.5,15.0,294.38,588.76,3041.96
TXN-10081,VND-08,4235.28,2.5,10.0,105.88,423.53,3705.87
TXN-10082,VND-14,4005.46,7.5,20.0,300.41,801.09,2903.96
TXN-10083,VND-23,2566.97,5.0,10.0,128.35,256.7,2181.92
TXN-10084,VND-40,1202.86,2.5,20.0,30.07,240.57,932.22
TXN-10085,VND-21,4234.38,7.5,20.0,317.58,846.88,3069.92
TXN-10086,VND-16,3649.46,2.5,15.0,91.24,547.42,3010.8
TXN-10087,VND-45,4904.77,2.5,15.0,122.62,735.72,4046.43
TXN-10088,VND-18,820.68,5.0,20.0,41.03,164.14,615.51
TXN-10089,VND-47,1167.04,2.5,20.0,29.18,233.41,904.45
TXN-10090,VND-24,1098.4,7.5,20.0,82.38,219.68,796.34
TXN-10091,VND-26,3973.07,2.5,10.0,99.33,397.31,3476.43
TXN-10092,VND-25,975.19,2.5,15.0,24.38,146.28,804.53
TXN-10093,VND-45,379.97,5.0,10.0,19.0,38.0,322.97
TXN-10094,VND-41,4992.88,5.0,15.0,249.64,748.93,3994.31
TXN-10095,VND-29,172.85,7.5,10.0,12.96,17.28,142.61
TXN-10096,VND-15,4184.46,5.0,15.0,209.22,627.67,3347.57
TXN-10097,VND-45,1858.57,7.5,20.0,139.39,371.71,1347.47
TXN-10098,VND-01,4216.0,7.5,20.0,316.2,843.2,3056.6
TXN-10099,VND-25,2795.37,5.0,15.0,139.77,419.31,2236.29
TXN-10100,VND-07,4513.07,2.5,20.0,112.83,902.61,3497.63
TXN-10101,VND-09,4634.66,5.0,20.0,231.73,926.93,3476.0
TXN-10102,VND-24,95.04,2.5,10.0,2.38,9.5,83.16
TXN-10103,VND-01,423.29,2.5,15.0,10.58,63.49,349.22
TXN-10104,VND-44,1289.28,7.5,20.0,96.7,257.86,934.72
TXN-10105,VND-08,3363.11,7.5,15.0,252.23,504.47,2606.41
TXN-10106,VND-24,4446.95,5.0,10.0,222.35,444.7,3779.9
TXN-10107,VND-11,2326.71,2.5,15.0,58.17,349.01,1919.53
TXN-10108,VND-17,3054.52,5.0,10.0,152.73,305.45,2596.34
TXN-10109,VND-08,983.07,7.5,10.0,73.73,98.31,811.03
TXN-10110,VND-35,4034.59,2.5,10.0,100.86,403.46,3530.27
TXN-10111,VND-35,4838.27,5.0,20.0,241.91,967.65,3628.71
TXN-10112,VND-33,1379.56,5.0,10.0,68.98,137.96,1172.62
TXN-10113,VND-05,2499.39,7.5,15.0,187.45,374.91,1937.03
TXN-10114,VND-42,476.27,7.5,15.0,35.72,71.44,369.11
TXN-10115,VND-39,2817.73,7.5,20.0,211.33,563.55,2042.85
TXN-10116,VND-41,2538.78,7.5,20.0,190.41,507.76,1840.61
TXN-10117,VND-28,764.96,5.0,10.0,38.25,76.5,650.21
TXN-10118,VND-07,2238.23,7.5,10.0,167.87,223.82,1846.54
TXN-10119,VND-09,1703.82,7.5,10.0,127.79,170.38,1405.65
TXN-10120,VND-08,2633.06,5.0,20.0,131.65,526.61,1974.8
TXN-10121,VND-12,2948.99,5.0,20.0,147.45,589.8,2211.74
TXN-10122,VND-34,92.05,2.5,15.0,2.3,13.81,75.94
TXN-10123,VND-33,3816.98,5.0,10.0,190.85,381.7,3244.43
TXN-10124,VND-48,3579.42,2.5,10.0,89.49,357.94,3131.99
TXN-10125,VND-23,1863.12,7.5,15.0,139.73,279.47,1443.92
TXN-10126,VND-24,312.03,2.5,15.0,7.8,46.8,257.43
TXN-10127,VND-37,3786.92,2.5,15.0,94.67,568.04,3124.21
TXN-10128,VND-35,4778.12,7.5,15.0,358.36,716.72,3703.04
TXN-10129,VND-44,1238.75,7.5,10.0,92.91,123.88,1021.96
TXN-10130,VND-40,1651.45,7.5,20.0,123.86,330.29,1197.3
TXN-10131,VND-22,959.87,2.5,10.0,24.0,95.99,839.88
TXN-10132,VND-27,2905.83,5.0,15.0,145.29,435.87,2324.67
TXN-10133,VND-35,816.46,5.0,20.0,40.82,163.29,612.35
TXN-10134,VND-01,1813.16,5.0,10.0,90.66,181.32,1541.18
TXN-10135,VND-35,3500.21,7.5,15.0,262.52,525.03,2712.66
TXN-10136,VND-37,2822.57,7.5,20.0,211.69,564.51,2046.37
TXN-10137,VND-47,1962.99,5.0,20.0,98.15,392.6,1472.24
TXN-10138,VND-14,2130.24,7.5,20.0,159.77,426.05,1544.42
TXN-10139,VND-03,2832.45,2.5,10.0,70.81,283.24,2478.4
TXN-10140,VND-01,79.03,2.5,15.0,1.98,11.85,65.2
TXN-10141,VND-05,438.62,7.5,10.0,32.9,43.86,361.86
TXN-10142,VND-26,4412.23,5.0,10.0,220.61,441.22,3750.4
TXN-10143,VND-14,435.5,5.0,10.0,21.78,43.55,370.17
TXN-10144,VND-39,3548.68,2.5,20.0,88.72,709.74,2750.22
TXN-10145,VND-27,4604.19,7.5,15.0,345.31,690.63,3568.25
TXN-10146,VND-09,1389.88,5.0,10.0,69.49,138.99,1181.4
TXN-10147,VND-15,1883.93,5.0,15.0,94.2,282.59,1507.14
TXN-10148,VND-15,2866.16,7.5,20.0,214.96,573.23,2077.97
TXN-10149,VND-26,4414.46,7.5,10.0,331.08,441.45,3641.93
TXN-10150,VND-42,4712.43,5.0,15.0,235.62,706.86,3769.95
TXN-10151,VND-13,3710.84,7.5,20.0,278.31,742.17,2690.36
TXN-10152,VND-32,478.77,7.5,10.0,35.91,47.88,394.98
TXN-10153,VND-39,3362.31,7.5,10.0,252.17,336.23,2773.91
TXN-10154,VND-49,2081.0,5.0,15.0,104.05,312.15,1664.8
TXN-10155,VND-32,2379.97,2.5,15.0,59.5,357.0,1963.47
TXN-10156,VND-04,293.28,7.5,10.0,22.0,29.33,241.95
TXN-10157,VND-30,995.76,5.0,10.0,49.79,99.58,846.39
TXN-10158,VND-37,3963.04,2.5,20.0,99.08,792.61,3071.35
TXN-10159,VND-23,2297.1,5.0,20.0,114.86,459.42,1722.82
TXN-10160,VND-39,1543.23,5.0,10.0,77.16,154.32,1311.75
TXN-10161,VND-45,1950.89,5.0,15.0,97.54,292.63,1560.72
TXN-10162,VND-15,4279.28,2.5,15.0,106.98,641.89,3530.41
TXN-10163,VND-43,3757.55,5.0,10.0,187.88,375.76,3193.91
TXN-10164,VND-29,1397.96,2.5,20.0,34.95,279.59,1083.42
TXN-10165,VND-36,631.63,7.5,10.0,47.37,63.16,521.1
TXN-10166,VND-13,1297.39,2.5,15.0,32.43,194.61,1070.35
TXN-10167,VND-32,4607.74,5.0,10.0,230.39,460.77,3916.58
TXN-10168,VND-07,2928.86,2.5,10.0,73.22,292.89,2562.75
TXN-10169,VND-22,2690.73,5.0,20.0,134.54,538.15,2018.04
TXN-10170,VND-28,3002.15,7.5,15.0,225.16,450.32,2326.67
TXN-10171,VND-02,1861.84,2.5,15.0,46.55,279.28,1536.01
TXN-10172,VND-42,4045.18,7.5,10.0,303.39,404.52,3337.27
TXN-10173,VND-45,2640.27,2.5,15.0,66.01,396.04,2178.22
TXN-10174,VND-06,627.9,5.0,15.0,31.4,94.18,502.32
TXN-10175,VND-28,688.87,2.5,15.0,17.22,103.33,568.32
TXN-10176,VND-28,2707.45,7.5,15.0,203.06,406.12,2098.27
TXN-10177,VND-44,4686.02,2.5,20.0,117.15,937.2,3631.67
TXN-10178,VND-44,1576.34,7.5,20.0,118.23,315.27,1142.84
TXN-10179,VND-20,4354.23,7.5,20.0,326.57,870.85,3156.81
TXN-10180,VND-30,3832.27,5.0,20.0,191.61,766.45,2874.21
TXN-10181,VND-11,1276.67,2.5,20.0,31.92,255.33,989.42
TXN-10182,VND-28,229.89,7.5,15.0,17.24,34.48,178.17
TXN-10183,VND-25,554.14,5.0,10.0,27.71,55.41,471.02
TXN-10184,VND-39,3656.04,5.0,10.0,182.8,365.6,3107.64
TXN-10185,VND-33,1038.37,5.0,20.0,51.92,207.67,778.78
TXN-10186,VND-01,1887.79,7.5,15.0,141.58,283.17,1463.04
TXN-10187,VND-27,2533.41,2.5,20.0,63.34,506.68,1963.39
TXN-10188,VND-13,3641.07,7.5,10.0,273.08,364.11,3003.88
TXN-10189,VND-41,610.49,5.0,15.0,30.52,91.57,488.4
TXN-10190,VND-03,2061.51,7.5,15.0,154.61,309.23,1597.67
TXN-10191,VND-39,2451.11,7.5,15.0,183.83,367.67,1899.61
TXN-10192,VND-06,2727.09,5.0,10.0,136.35,272.71,2318.03
TXN-10193,VND-08,4100.89,2.5,10.0,102.52,410.09,3588.28
TXN-10194,VND-27,899.81,5.0,20.0,44.99,179.96,674.86
TXN-10195,VND-09,4048.77,5.0,20.0,202.44,809.75,3036.58
TXN-10196,VND-37,3479.75,7.5,10.0,260.98,347.98,2870.79
TXN-10197,VND-33,2801.56,5.0,20.0,140.08,560.31,2101.17
TXN-10198,VND-42,3512.66,7.5,10.0,263.45,351.27,2897.94
TXN-10199,VND-44,2089.49,5.0,15.0,104.47,313.42,1671.6
TXN-10200,VND-24,735.07,5.0,20.0,36.75,147.01,551.31
TXN-10201,VND-15,3345.54,2.5,10.0,83.64,334.55,2927.35
TXN-10202,VND-32,2647.13,5.0,10.0,132.36,264.71,2250.06
TXN-10203,VND-32,3214.91,2.5,10.0,80.37,321.49,2813.05
TXN-10204,VND-24,1723.09,5.0,20.0,86.15,344.62,1292.32
TXN-10205,VND-41,4538.99,5.0,20.0,226.95,907.8,3404.24
TXN-10206,VND-49,2957.48,5.0,15.0,147.87,443.62,2365.99
TXN-10207,VND-49,472.74,2.5,20.0,11.82,94.55,366.37
TXN-10208,VND-12,2276.53,7.5,20.0,170.74,455.31,1650.48
TXN-10209,VND-39,3793.96,2.5,20.0,94.85,758.79,2940.32
TXN-10210,VND-02,3980.97,5.0,15.0,199.05,597.15,3184.77
TXN-10211,VND-03,2498.26,7.5,15.0,187.37,374.74,1936.15
TXN-10212,VND-49,4479.0,5.0,15.0,223.95,671.85,3583.2
TXN-10213,VND-37,1374.96,2.5,20.0,34.37,274.99,1065.6
TXN-10214,VND-49,2082.46,2.5,10.0,52.06,208.25,1822.15
TXN-10215,VND-17,4498.05,7.5,20.0,337.35,899.61,3261.09
TXN-10216,VND-49,4486.47,2.5,15.0,112.16,672.97,3701.34
TXN-10217,VND-02,3444.28,5.0,20.0,172.21,688.86,2583.21
TXN-10218,VND-02,4301.95,7.5,20.0,322.65,860.39,3118.91
TXN-10219,VND-28,489.43,5.0,10.0,24.47,48.94,416.02
TXN-10220,VND-23,4331.73,7.5,10.0,324.88,433.17,3573.68
TXN-10221,VND-37,1637.07,7.5,20.0,122.78,327.41,1186.88
TXN-10222,VND-32,932.74,5.0,15.0,46.64,139.91,746.19
TXN-10223,VND-33,1234.88,2.5,20.0,30.87,246.98,957.03
TXN-10224,VND-01,2118.94,5.0,20.0,105.95,423.79,1589.2
TXN-10225,VND-19,1293.4,2.5,20.0,32.34,258.68,1002.38
TXN-10226,VND-02,1636.81,2.5,15.0,40.92,245.52,1350.37
TXN-10227,VND-44,718.14,5.0,15.0,35.91,107.72,574.51
TXN-10228,VND-26,1516.07,7.5,15.0,113.71,227.41,1174.95
TXN-10229,VND-32,2882.8,5.0,15.0,144.14,432.42,2306.24
TXN-10230,VND-06,2237.18,7.5,15.0,167.79,335.58,1733.81
TXN-10231,VND-32,1766.26,2.5,20.0,44.16,353.25,1368.85
TXN-10232,VND-04,3744.94,7.5,15.0,280.87,561.74,2902.33
TXN-10233,VND-11,4472.87,5.0,20.0,223.64,894.57,3354.66
TXN-10234,VND-17,3796.11,7.5,20.0,284.71,759.22,2752.18
TXN-10235,VND-38,1693.4,2.5,20.0,42.34,338.68,1312.38
TXN-10236,VND-24,3734.99,2.5,10.0,93.37,373.5,3268.12
TXN-10237,VND-05,802.3,7.5,15.0,60.17,120.34,621.79
TXN-10238,VND-34,695.07,2.5,15.0,17.38,104.26,573.43
TXN-10239,VND-06,1760.85,2.5,20.0,44.02,352.17,1364.66
TXN-10240,VND-22,4048.13,7.5,10.0,303.61,404.81,3339.71
TXN-10241,VND-11,1269.42,2.5,15.0,31.74,190.41,1047.27
TXN-10242,VND-48,363.1,7.5,20.0,27.23,72.62,263.25
TXN-10243,VND-16,701.96,7.5,10.0,52.65,70.2,579.11
TXN-10244,VND-33,4300.79,2.5,20.0,107.52,860.16,3333.11
TXN-10245,VND-09,3187.23,7.5,10.0,239.04,318.72,2629.47
TXN-10246,VND-06,1303.35,2.5,20.0,32.58,260.67,1010.1
TXN-10247,VND-16,2798.71,2.5,15.0,69.97,419.81,2308.93
TXN-10248,VND-29,2661.52,2.5,20.0,66.54,532.3,2062.68
TXN-10249,VND-03,3294.41,5.0,20.0,164.72,658.88,2470.81
TXN-10250,VND-20,1204.28,2.5,10.0,30.11,120.43,1053.74
TXN-10251,VND-36,4328.79,7.5,10.0,324.66,432.88,3571.25
TXN-10252,VND-19,1581.37,7.5,15.0,118.6,237.21,1225.56
TXN-10253,VND-26,3485.95,7.5,20.0,261.45,697.19,2527.31
TXN-10254,VND-03,129.82,5.0,10.0,6.49,12.98,110.35
TXN-10255,VND-19,1894.65,5.0,15.0,94.73,284.2,1515.72
TXN-10256,VND-20,1790.96,7.5,15.0,134.32,268.64,1388.0
TXN-10257,VND-32,2740.25,7.5,10.0,205.52,274.02,2260.71
TXN-10258,VND-07,410.04,5.0,10.0,20.5,41.0,348.54
TXN-10259,VND-41,3961.15,7.5,20.0,297.09,792.23,2871.83
TXN-10260,VND-33,1128.01,2.5,15.0,28.2,169.2,930.61
TXN-10261,VND-40,3401.34,2.5,10.0,85.03,340.13,2976.18
TXN-10262,VND-39,4025.9,7.5,15.0,301.94,603.88,3120.08
TXN-10263,VND-18,2831.29,2.5,20.0,70.78,566.26,2194.25
TXN-10264,VND-40,3717.37,7.5,10.0,278.8,371.74,3066.83
TXN-10265,VND-01,3326.21,5.0,15.0,166.31,498.93,2660.97
TXN-10266,VND-11,1809.87,7.5,10.0,135.74,180.99,1493.14
TXN-10267,VND-28,4053.85,5.0,20.0,202.69,810.77,3040.39
TXN-10268,VND-25,1508.77,2.5,20.0,37.72,301.75,1169.3
TXN-10269,VND-50,2877.5,2.5,20.0,71.94,575.5,2230.06
TXN-10270,VND-23,3739.72,2.5,20.0,93.49,747.94,2898.29
TXN-10271,VND-31,1925.83,7.5,10.0,144.44,192.58,1588.81
TXN-10272,VND-30,1548.7,5.0,10.0,77.44,154.87,1316.39
TXN-10273,VND-42,2323.76,5.0,15.0,116.19,348.56,1859.01
TXN-10274,VND-35,4098.92,2.5,15.0,102.47,614.84,3381.61
TXN-10275,VND-07,4653.11,2.5,10.0,116.33,465.31,4071.47
TXN-10276,VND-16,2748.16,5.0,10.0,137.41,274.82,2335.93
TXN-10277,VND-26,3324.26,7.5,15.0,249.32,498.64,2576.3
TXN-10278,VND-48,4521.2,2.5,10.0,113.03,452.12,3956.05
TXN-10279,VND-49,537.81,7.5,20.0,40.34,107.56,389.91
TXN-10280,VND-02,1198.79,2.5,20.0,29.97,239.76,929.06
TXN-10281,VND-01,3559.06,2.5,20.0,88.98,711.81,2758.27
TXN-10282,VND-48,4127.54,7.5,15.0,309.57,619.13,3198.84
TXN-10283,VND-12,4292.29,7.5,10.0,321.92,429.23,3541.14
TXN-10284,VND-05,2104.78,7.5,15.0,157.86,315.72,1631.2
TXN-10285,VND-37,492.23,7.5,15.0,36.92,73.83,381.48
TXN-10286,VND-32,2217.02,5.0,10.0,110.85,221.7,1884.47
TXN-10287,VND-09,1192.14,5.0,15.0,59.61,178.82,953.71
TXN-10288,VND-41,1491.42,2.5,20.0,37.29,298.28,1155.85
TXN-10289,VND-35,3872.72,2.5,10.0,96.82,387.27,3388.63
TXN-10290,VND-19,423.86,2.5,20.0,10.6,84.77,328.49
TXN-10291,VND-48,4146.53,5.0,20.0,207.33,829.31,3109.89
TXN-10292,VND-16,2166.96,7.5,10.0,162.52,216.7,1787.74
TXN-10293,VND-03,3000.52,2.5,20.0,75.01,600.1,2325.41
TXN-10294,VND-20,493.78,5.0,20.0,24.69,98.76,370.33
TXN-10295,VND-24,1719.93,2.5,20.0,43.0,343.99,1332.94
TXN-10296,VND-33,494.02,5.0,10.0,24.7,49.4,419.92
TXN-10297,VND-24,4809.64,7.5,10.0,360.72,480.96,3967.96
TXN-10298,VND-11,4045.95,5.0,10.0,202.3,404.6,3439.05
TXN-10299,VND-49,2325.18,7.5,15.0,174.39,348.78,1802.01
TXN-10300,VND-08,1156.83,2.5,20.0,28.92,231.37,896.54
TXN-10301,VND-36,4670.6,7.5,15.0,350.3,700.59,3619.71
TXN-10302,VND-38,1755.75,5.0,15.0,87.79,263.36,1404.6
TXN-10303,VND-40,846.87,2.5,20.0,21.17,169.37,656.33
TXN-10304,VND-20,2837.66,2.5,10.0,70.94,283.77,2482.95
TXN-10305,VND-35,4721.68,5.0,15.0,236.08,708.25,3777.35
TXN-10306,VND-48,68.96,7.5,10.0,5.17,6.9,56.89
TXN-10307,VND-25,1228.72,5.0,10.0,61.44,122.87,1044.41
TXN-10308,VND-35,4695.32,7.5,20.0,352.15,939.06,3404.11
TXN-10309,VND-25,896.88,7.5,15.0,67.27,134.53,695.08
TXN-10310,VND-29,610.56,2.5,15.0,15.26,91.58,503.72
TXN-10311,VND-18,2872.43,7.5,10.0,215.43,287.24,2369.76
TXN-10312,VND-46,4316.13,2.5,20.0,107.9,863.23,3345.0
TXN-10313,VND-18,2411.69,5.0,15.0,120.58,361.75,1929.36
TXN-10314,VND-02,4973.09,5.0,10.0,248.65,497.31,4227.13
TXN-10315,VND-35,3411.9,2.5,10.0,85.3,341.19,2985.41
TXN-10316,VND-16,416.67,2.5,10.0,10.42,41.67,364.58
TXN-10317,VND-41,4964.52,7.5,20.0,372.34,992.9,3599.28
TXN-10318,VND-36,2069.08,2.5,20.0,51.73,413.82,1603.53
TXN-10319,VND-33,1472.64,5.0,10.0,73.63,147.26,1251.75
TXN-10320,VND-04,2811.5,2.5,10.0,70.29,281.15,2460.06
TXN-10321,VND-33,1556.32,2.5,20.0,38.91,311.26,1206.15
TXN-10322,VND-14,477.96,2.5,10.0,11.95,47.8,418.21
TXN-10323,VND-21,57.07,7.5,10.0,4.28,5.71,47.08
TXN-10324,VND-48,2275.44,2.5,20.0,56.89,455.09,1763.46
TXN-10325,VND-20,4192.47,7.5,10.0,314.44,419.25,3458.78
TXN-10326,VND-08,2882.96,7.5,10.0,216.22,288.3,2378.44
TXN-10327,VND-07,4996.08,2.5,10.0,124.9,499.61,4371.57
TXN-10328,VND-03,1469.89,7.5,20.0,110.24,293.98,1065.67
TXN-10329,VND-17,1438.25,2.5,20.0,35.96,287.65,1114.64
TXN-10330,VND-33,840.76,5.0,20.0,42.04,168.15,630.57
TXN-10331,VND-48,862.11,5.0,15.0,43.11,129.32,689.68
TXN-10332,VND-12,1461.67,7.5,15.0,109.63,219.25,1132.79
TXN-10333,VND-22,3974.56,5.0,15.0,198.73,596.18,3179.65
TXN-10334,VND-22,4533.5,2.5,15.0,113.34,680.02,3740.14
TXN-10335,VND-46,4876.68,7.5,20.0,365.75,975.34,3535.59
TXN-10336,VND-30,1199.83,2.5,10.0,30.0,119.98,1049.85
TXN-10337,VND-38,4412.42,7.5,20.0,330.93,882.48,3199.01
TXN-10338,VND-38,1674.86,7.5,15.0,125.61,251.23,1298.02
TXN-10339,VND-45,608.56,7.5,20.0,45.64,121.71,441.21
TXN-10340,VND-08,4356.62,7.5,10.0,326.75,435.66,3594.21
TXN-10341,VND-27,3198.72,5.0,15.0,159.94,479.81,2558.97
TXN-10342,VND-27,865.42,5.0,10.0,43.27,86.54,735.61
TXN-10343,VND-34,2177.66,5.0,10.0,108.88,217.77,1851.01
TXN-10344,VND-21,1471.93,7.5,10.0,110.39,147.19,1214.35
TXN-10345,VND-30,3697.13,5.0,15.0,184.86,554.57,2957.7
TXN-10346,VND-33,2294.41,7.5,20.0,172.08,458.88,1663.45
TXN-10347,VND-28,4946.94,5.0,15.0,247.35,742.04,3957.55
TXN-10348,VND-47,320.99,7.5,15.0,24.07,48.15,248.77
TXN-10349,VND-33,1807.33,5.0,20.0,90.37,361.47,1355.49
TXN-10350,VND-05,2435.41,5.0,20.0,121.77,487.08,1826.56
TXN-10351,VND-48,2540.51,5.0,20.0,127.03,508.1,1905.38
TXN-10352,VND-19,1613.88,7.5,20.0,121.04,322.78,1170.06
TXN-10353,VND-04,3659.74,7.5,10.0,274.48,365.97,3019.29
TXN-10354,VND-35,4380.0,5.0,15.0,219.0,657.0,3504.0
TXN-10355,VND-49,4696.66,7.5,15.0,352.25,704.5,3639.91
TXN-10356,VND-17,4035.21,2.5,15.0,100.88,605.28,3329.05
TXN-10357,VND-44,4260.37,5.0,20.0,213.02,852.07,3195.28
TXN-10358,VND-28,2775.2,5.0,15.0,138.76,416.28,2220.16
TXN-10359,VND-30,4138.15,2.5,10.0,103.45,413.82,3620.88
TXN-10360,VND-29,1552.34,7.5,15.0,116.43,232.85,1203.06
TXN-10361,VND-46,2022.47,7.5,15.0,151.69,303.37,1567.41
TXN-10362,VND-06,1618.72,7.5,10.0,121.4,161.87,1335.45
TXN-10363,VND-35,2363.57,5.0,10.0,118.18,236.36,2009.03
TXN-10364,VND-41,1463.62,5.0,15.0,73.18,219.54,1170.9
TXN-10365,VND-37,4809.98,5.0,20.0,240.5,962.0,3607.48
TXN-10366,VND-24,1598.58,5.0,20.0,79.93,319.72,1198.93
TXN-10367,VND-29,535.32,5.0,15.0,26.77,80.3,428.25
TXN-10368,VND-49,2657.74,7.5,15.0,199.33,398.66,2059.75
TXN-10369,VND-46,332.64,2.5,15.0,8.32,49.9,274.42
